type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.793988000,-106.460734000,5320.5,1.2,-4.1,11.104,1491.52,,,,,,,
T,42.794508000,-106.460691000,5313.3,2.6,-4.0,11.140,189.87,,,,,,,
T,42.795430000,-106.460614000,5299.5,3.3,-4.6,11.204,336.67,,,,,,,
T,42.797759000,-106.460513000,5277.5,3.2,-4.1,11.365,849.27,,,,,,,
T,42.802733000,-106.460097000,5181.2,3.4,-4.2,11.709,1816.28,,,,,,,
T,42.803341000,-106.460057000,5179.2,3.0,-4.0,11.751,221.85,,,,,,,
T,42.803957000,-106.459897000,5169.6,3.5,-4.4,11.794,228.58,,,,,,,
T,42.804900000,-106.459585000,5159.2,4.6,0.6,11.861,353.74,,,,,,,
T,42.805360000,-106.459448000,5154.4,5.9,3.4,11.894,171.64,,,,,,,
T,42.806404000,-106.459137000,5190.0,10.9,5.6,11.968,389.55,,,,,,,
T,42.807291000,-106.458834000,5229.3,12.8,9.1,12.031,333.35,,,,,,,
T,42.808419000,-106.458482000,5263.4,13.1,10.4,12.111,421.83,,,,,,,
T,42.809099000,-106.458106000,5303.4,14.5,8.4,12.161,267.59,,,,,,,
T,42.810154000,-106.457250000,5347.0,18.6,6.2,12.246,447.90,,,,,,,
T,42.811993000,-106.455675000,5380.2,24.4,5.6,12.396,792.38,,,,,,,
T,42.813049000,-106.454731000,5378.0,27.6,3.5,12.483,460.75,,,,,,,
T,42.813817000,-106.454068000,5391.2,31.0,1.7,12.546,331.66,,,,,,,
T,42.814640000,-106.453561000,5384.9,31.0,-0.1,12.609,329.36,,,,,,,
T,42.814945000,-106.453390000,5381.7,30.6,-0.0,12.631,120.26,,,,,,,
T,42.815205000,-106.453269000,5379.4,28.8,-2.2,12.650,100.17,,,,,,,
T,42.815343000,-106.453220000,5377.9,25.8,-2.3,12.660,51.99,,,,,,,
T,42.815406000,-106.453198000,5377.1,21.9,-1.9,12.665,23.71,,,,,,,
T,42.815622000,-106.453121000,5376.4,18.2,-2.7,12.680,81.39,,,,,,,
T,42.816304000,-106.452940000,5371.9,13.7,-3.2,12.728,253.27,,,,,,,
T,42.816895000,-106.452869000,5362.8,9.8,-2.7,12.769,216.24,,,,,,,
T,42.817487000,-106.452857000,5352.7,7.1,-2.4,12.810,215.79,,,,,,,
T,42.821399000,-106.452865000,5318.7,2.3,-2.3,13.080,1425.79,,,,,,,
T,42.827111000,-106.452854000,5277.8,1.0,-2.2,13.474,2081.83,,,,,,,
T,42.827894000,-106.452851000,5273.2,0.3,-2.1,13.528,285.38,,,,,,,
T,42.828306000,-106.452836000,5270.4,0.1,-2.0,13.557,150.21,,,,,,,
T,42.828712000,-106.452781000,5267.8,0.3,-2.0,13.585,148.71,,,,,,,
T,42.829152000,-106.452671000,5263.5,1.1,-1.7,13.616,163.06,,,,,,,
T,42.829576000,-106.452534000,5260.0,5.4,-1.3,13.646,158.84,,,,,,,
T,42.829917000,-106.452394000,5260.3,9.4,-0.9,13.671,129.83,,,,,,,
T,42.830258000,-106.452235000,5260.9,12.7,-0.5,13.695,131.40,,,,,,,
T,42.830684000,-106.451986000,5261.0,16.5,0.0,13.727,169.02,,,,,,,
T,42.831105000,-106.451695000,5259.8,20.1,1.8,13.760,172.16,,,,,,,
T,42.831646000,-106.451300000,5260.1,23.6,2.6,13.802,223.84,,,,,,,
T,42.832497000,-106.450677000,5279.3,26.0,0.8,13.869,352.32,,,,,,,
T,42.833049000,-106.450320000,5290.1,26.7,-0.3,13.911,222.81,,,,,,,
T,42.834432000,-106.449653000,5273.2,24.5,-1.2,14.013,534.87,,,,,,,
T,42.835560000,-106.449174000,5254.2,22.5,-2.8,14.094,430.73,,,,,,,
T,42.836304000,-106.448757000,5238.7,21.8,-3.8,14.150,293.33,,,,,,,
T,42.836619000,-106.448540000,5233.6,20.8,-3.6,14.174,128.72,,,,,,,
T,42.836920000,-106.448280000,5231.8,21.1,-1.9,14.199,130.00,,,,,,,
T,42.837463000,-106.447758000,5228.8,24.6,1.3,14.245,242.43,,,,,,,
T,42.838007000,-106.447081000,5234.0,32.1,1.2,14.296,268.86,,,,,,,
T,42.838719000,-106.445854000,5253.7,41.4,1.1,14.375,419.11,,,,,,,
T,42.840558000,-106.442144000,5261.0,50.0,1.3,14.602,1199.77,,,,,,,
T,42.840974000,-106.441345000,5259.0,51.4,0.9,14.652,262.51,,,,,,,
T,42.841318000,-106.440505000,5259.3,54.1,-0.5,14.701,257.83,,,,,,,
T,42.841645000,-106.439369000,5256.3,57.2,-2.8,14.763,327.17,,,,,,,
